a,b,method,samples,excess_risk
1.1,1.1,constant+average,1086,7.676641435614431e-06
1.1,1.1,constant+average,1157,7.663884645035018e-06
1.1,1.1,constant+average,1232,7.650568623443388e-06
1.1,1.1,constant+average,1311,7.636716279026915e-06
1.1,1.1,constant+average,1396,7.622007147362664e-06
1.1,1.1,constant+average,1487,7.606479401819892e-06
1.1,1.1,constant+average,1583,7.590339250154802e-06
1.1,1.1,constant+average,1686,7.573290645113124e-06
1.1,1.1,constant+average,1795,7.555544031149494e-06
1.1,1.1,constant+average,1911,7.536982297929655e-06
1.1,1.1,constant+average,2000,7.522962180066958e-06
1.1,1.1,constant+average,2035,7.517500265423575e-06
1.1,1.1,constant+average,2167,7.497157910624833e-06
1.1,1.1,constant+average,2307,7.476015749594029e-06
1.1,1.1,constant+average,2457,7.453841951012489e-06
1.1,1.1,constant+average,2616,7.43085954655141e-06
1.1,1.1,constant+average,2785,7.406999054380451e-06
1.1,1.1,constant+average,2966,7.382067887913865e-06
1.1,1.1,constant+average,3000,7.377454560776222e-06
1.1,1.1,constant+average,3158,7.3562980805909105e-06
1.1,1.1,constant+average,3363,7.32951959630493e-06
1.1,1.1,constant+average,3581,7.301839879268336e-06
1.1,1.1,constant+average,3813,7.2732425427565525e-06
1.1,1.1,constant+average,4060,7.24372297816072e-06
1.1,1.1,constant+average,4323,7.213287804418336e-06
1.1,1.1,constant+average,4603,7.181954174803825e-06
1.1,1.1,constant+average,4901,7.149748949120014e-06
1.1,1.1,constant+average,5000,7.139298888123135e-06
1.1,1.1,constant+average,5218,7.1167077460841645e-06
1.1,1.1,constant+average,5556,7.0827753972850145e-06
1.1,1.1,constant+average,5916,7.04801325895337e-06
1.1,1.1,constant+average,6300,7.012397028301748e-06
1.1,1.1,constant+average,6708,6.97609556550594e-06
1.1,1.1,constant+average,7142,6.9390983796373325e-06
1.1,1.1,constant+average,7605,6.9013310886036105e-06
1.1,1.1,constant+average,8000,6.870399962525704e-06
1.1,1.1,constant+average,8098,6.862900033700376e-06
1.1,1.1,constant+average,8622,6.823909167443969e-06
1.1,1.1,constant+average,9181,6.784251082543286e-06
1.1,1.1,constant+average,9776,6.7440515428136405e-06
1.1,1.1,constant+average,10000,6.729418792448699e-06
1.1,1.1,constant+average,10409,6.703366455303885e-06
1.1,1.1,constant+average,11083,6.662196777319498e-06
1.1,1.1,constant+average,11801,6.6205585905054005e-06
1.1,1.1,constant+average,12566,6.578480579516294e-06
1.1,1.1,constant+average,13380,6.536052364864297e-06
1.1,1.1,constant+average,14247,6.493264621312823e-06
1.1,1.1,constant+average,15170,6.450170415706201e-06
1.1,1.1,constant+average,16153,6.40678393101306e-06
1.1,1.1,constant+average,17199,6.363171787815423e-06
1.1,1.1,constant+average,18314,6.3192861414649315e-06
1.1,1.1,constant+average,19500,6.275248521577297e-06
1.1,1.1,constant+average,20000,6.257430138797138e-06
1.1,1.1,constant+average,20763,6.2310323053722285e-06
1.1,1.1,constant+average,22109,6.186630447934639e-06
1.1,1.1,constant+average,23541,6.142142357505633e-06
1.1,1.1,constant+average,25066,6.097545409691304e-06
1.1,1.1,constant+average,26690,6.052861962068586e-06
1.1,1.1,constant+average,28419,6.008122753325709e-06
1.1,1.1,constant+average,30260,5.963341032799476e-06
1.1,1.1,constant+average,32221,5.91851771563189e-06
1.1,1.1,constant+average,34308,5.873708072615326e-06
1.1,1.1,constant+average,36531,5.828888876088761e-06
1.1,1.1,constant+average,38897,5.7841096858046564e-06
1.1,1.1,constant+average,41417,5.739351812095167e-06
1.1,1.1,constant+average,44101,5.694629137757414e-06
1.1,1.1,constant+average,46958,5.649979634867763e-06
1.1,1.1,constant+average,50000,5.605401452100437e-06
1.1,1.1,1/sqrt(t)+average,100,7.978259656466754e-06
1.1,1.1,1/sqrt(t)+average,106,7.977750030573153e-06
1.1,1.1,1/sqrt(t)+average,113,7.977093820865717e-06
1.1,1.1,1/sqrt(t)+average,121,7.976275516992604e-06
1.1,1.1,1/sqrt(t)+average,129,7.97539655947357e-06
1.1,1.1,1/sqrt(t)+average,137,7.974467272340123e-06
1.1,1.1,1/sqrt(t)+average,146,7.973372022215235e-06
1.1,1.1,1/sqrt(t)+average,155,7.972233273751584e-06
1.1,1.1,1/sqrt(t)+average,165,7.970926409149814e-06
1.1,1.1,1/sqrt(t)+average,176,7.96944815735318e-06
1.1,1.1,1/sqrt(t)+average,187,7.967936111642917e-06
1.1,1.1,1/sqrt(t)+average,199,7.966256619363573e-06
1.1,1.1,1/sqrt(t)+average,212,7.964410329400507e-06
1.1,1.1,1/sqrt(t)+average,226,7.962399245647406e-06
1.1,1.1,1/sqrt(t)+average,241,7.960226517919674e-06
1.1,1.1,1/sqrt(t)+average,256,7.958042124821881e-06
1.1,1.1,1/sqrt(t)+average,273,7.955559332063173e-06
1.1,1.1,1/sqrt(t)+average,291,7.95292880130339e-06
1.1,1.1,1/sqrt(t)+average,310,7.950156289185488e-06
1.1,1.1,1/sqrt(t)+average,330,7.94724778730577e-06
1.1,1.1,1/sqrt(t)+average,351,7.944209405558493e-06
1.1,1.1,1/sqrt(t)+average,374,7.940904104650399e-06
1.1,1.1,1/sqrt(t)+average,398,7.937483630105885e-06
1.1,1.1,1/sqrt(t)+average,424,7.933813966630653e-06
1.1,1.1,1/sqrt(t)+average,451,7.930044840252088e-06
1.1,1.1,1/sqrt(t)+average,480,7.926045376081647e-06
1.1,1.1,1/sqrt(t)+average,511,7.921826917235357e-06
1.1,1.1,1/sqrt(t)+average,545,7.917267901488512e-06
1.1,1.1,1/sqrt(t)+average,580,7.912648132147398e-06
1.1,1.1,1/sqrt(t)+average,617,7.907843889229342e-06
1.1,1.1,1/sqrt(t)+average,657,7.902739824423993e-06
1.1,1.1,1/sqrt(t)+average,700,7.89735375543864e-06
1.1,1.1,1/sqrt(t)+average,745,7.891825035217834e-06
1.1,1.1,1/sqrt(t)+average,794,7.885925277026681e-06
1.1,1.1,1/sqrt(t)+average,845,7.879912165334928e-06
1.1,1.1,1/sqrt(t)+average,900,7.873566194227313e-06
1.1,1.1,1/sqrt(t)+average,958,7.867022207432368e-06
1.1,1.1,1/sqrt(t)+average,1000,7.862373881042168e-06
1.1,1.1,1/sqrt(t)+average,1020,7.86018611126327e-06
1.1,1.1,1/sqrt(t)+average,1086,7.853079693231424e-06
1.1,1.1,1/sqrt(t)+average,1157,7.845620051691647e-06
1.1,1.1,1/sqrt(t)+average,1232,7.837936028316737e-06
1.1,1.1,1/sqrt(t)+average,1311,7.830046364149836e-06
1.1,1.1,1/sqrt(t)+average,1396,7.821776601340818e-06
1.1,1.1,1/sqrt(t)+average,1487,7.813158456164002e-06
1.1,1.1,1/sqrt(t)+average,1583,7.804313019911532e-06
1.1,1.1,1/sqrt(t)+average,1686,7.795084606199424e-06
1.1,1.1,1/sqrt(t)+average,1795,7.785593564850077e-06
1.1,1.1,1/sqrt(t)+average,1911,7.775781711977287e-06
1.1,1.1,1/sqrt(t)+average,2000,7.76844239338867e-06
1.1,1.1,1/sqrt(t)+average,2035,7.765598869694894e-06
1.1,1.1,1/sqrt(t)+average,2167,7.755081013485025e-06
1.1,1.1,1/sqrt(t)+average,2307,7.744261859239417e-06
1.1,1.1,1/sqrt(t)+average,2457,7.733025321866246e-06
1.1,1.1,1/sqrt(t)+average,2616,7.72148580941255e-06
1.1,1.1,1/sqrt(t)+average,2785,7.709607508862288e-06
1.1,1.1,1/sqrt(t)+average,2966,7.697294033834535e-06
1.1,1.1,1/sqrt(t)+average,3000,7.69502544991471e-06
1.1,1.1,1/sqrt(t)+average,3158,7.684657930497672e-06
1.1,1.1,1/sqrt(t)+average,3363,7.671612078539413e-06
1.1,1.1,1/sqrt(t)+average,3581,7.658204119762178e-06
1.1,1.1,1/sqrt(t)+average,3813,7.644419750188851e-06
1.1,1.1,1/sqrt(t)+average,4060,7.630249245203496e-06
1.1,1.1,1/sqrt(t)+average,4323,7.615687062208587e-06
1.1,1.1,1/sqrt(t)+average,4603,7.600731450815639e-06
1.1,1.1,1/sqrt(t)+average,4901,7.585384071783488e-06
1.1,1.1,1/sqrt(t)+average,5000,7.5804070980423165e-06
1.1,1.1,1/sqrt(t)+average,5218,7.569649626744879e-06
1.1,1.1,1/sqrt(t)+average,5556,7.553488572082151e-06
1.1,1.1,1/sqrt(t)+average,5916,7.536915892164157e-06
1.1,1.1,1/sqrt(t)+average,6300,7.519904848720754e-06
1.1,1.1,1/sqrt(t)+average,6708,7.502520367115417e-06
1.1,1.1,1/sqrt(t)+average,7142,7.4847413999598235e-06
1.1,1.1,1/sqrt(t)+average,7605,7.466515462804965e-06
1.1,1.1,1/sqrt(t)+average,8000,7.451522056404943e-06
1.1,1.1,1/sqrt(t)+average,8098,7.447876764358691e-06
1.1,1.1,1/sqrt(t)+average,8622,7.42885905298106e-06
1.1,1.1,1/sqrt(t)+average,9181,7.409393071767226e-06
1.1,1.1,1/sqrt(t)+average,9776,7.389523676565224e-06
1.1,1.1,1/sqrt(t)+average,10000,7.382254695725055e-06
1.1,1.1,1/sqrt(t)+average,10409,7.369262571222118e-06
1.1,1.1,1/sqrt(t)+average,11083,7.348594781677052e-06
1.1,1.1,1/sqrt(t)+average,11801,7.327513263184646e-06
1.1,1.1,1/sqrt(t)+average,12566,7.306017993254527e-06
1.1,1.1,1/sqrt(t)+average,13380,7.28414138980418e-06
1.1,1.1,1/sqrt(t)+average,14247,7.261866310486381e-06
1.1,1.1,1/sqrt(t)+average,15170,7.239208897808738e-06
1.1,1.1,1/sqrt(t)+average,16153,7.216166211137787e-06
1.1,1.1,1/sqrt(t)+average,17199,7.192764503749668e-06
1.1,1.1,1/sqrt(t)+average,18314,7.1689697788886356e-06
1.1,1.1,1/sqrt(t)+average,19500,7.144840918881572e-06
1.1,1.1,1/sqrt(t)+average,20000,7.135005683113792e-06
1.1,1.1,1/sqrt(t)+average,20763,7.12035786130208e-06
1.1,1.1,1/sqrt(t)+average,22109,7.095511684589552e-06
1.1,1.1,1/sqrt(t)+average,23541,7.070354571018856e-06
1.1,1.1,1/sqrt(t)+average,25066,7.044871743394754e-06
1.1,1.1,1/sqrt(t)+average,26690,7.019074778792137e-06
1.1,1.1,1/sqrt(t)+average,28419,6.992981483125173e-06
1.1,1.1,1/sqrt(t)+average,30260,6.966600810264255e-06
1.1,1.1,1/sqrt(t)+average,32221,6.939935412793162e-06
1.1,1.1,1/sqrt(t)+average,34308,6.913021511450151e-06
1.1,1.1,1/sqrt(t)+average,36531,6.885849479149259e-06
1.1,1.1,1/sqrt(t)+average,38897,6.858454576979746e-06
1.1,1.1,1/sqrt(t)+average,41417,6.8308314751363865e-06
1.1,1.1,1/sqrt(t)+average,44101,6.802995398437567e-06
1.1,1.1,1/sqrt(t)+average,46958,6.774977592238926e-06
1.1,1.1,1/sqrt(t)+average,50000,6.746785272103167e-06
1.1,2.2,constant+average,100,0.010789726562679059
1.1,2.2,constant+average,106,0.010199670067538165
1.1,2.2,constant+average,113,0.009587176792592295
1.1,2.2,constant+average,121,0.008970699138799233
1.1,2.2,constant+average,129,0.008428084536302833
1.1,2.2,constant+average,137,0.007946893017131054
1.1,2.2,constant+average,146,0.007466847913537977
1.1,2.2,constant+average,155,0.007041175557978345
1.1,2.2,constant+average,165,0.0066214828955243185
1.1,2.2,constant+average,176,0.006213858856450339
1.1,2.2,constant+average,187,0.005853403210674654
1.1,2.2,constant+average,199,0.005504993268062006
1.1,2.2,constant+average,212,0.005171542740676141
1.1,2.2,constant+average,226,0.004854941799858096
1.1,2.2,constant+average,241,0.004556249068225327
1.1,2.2,constant+average,256,0.0042923735409266025
1.1,2.2,constant+average,273,0.004028247595045455
1.1,2.2,constant+average,291,0.0037821624296665887
1.1,2.2,constant+average,310,0.003553405529890424
1.1,2.2,constant+average,330,0.003341106627012798
1.1,2.2,constant+average,351,0.0031443046088396025
1.1,2.2,constant+average,374,0.002954222905542231
1.1,2.2,constant+average,398,0.0027794258118068746
1.1,2.2,constant+average,424,0.0026125394674131517
1.1,2.2,constant+average,451,0.0024597566305275065
1.1,2.2,constant+average,480,0.002314967758585961
1.1,2.2,constant+average,511,0.0021785415047223737
1.1,2.2,constant+average,545,0.0020469458805018885
1.1,2.2,constant+average,580,0.0019277784905564186
1.1,2.2,constant+average,617,0.0018166805534279463
1.1,2.2,constant+average,657,0.001710831535868316
1.1,2.2,constant+average,700,0.0016107174711797588
1.1,2.2,constant+average,745,0.0015184966102814957
1.1,2.2,constant+average,794,0.001430140252173464
1.1,2.2,constant+average,845,0.0013492249912928074
1.1,2.2,constant+average,900,0.0012724005703190048
1.1,2.2,constant+average,958,0.0012010939054594352
1.1,2.2,constant+average,1000,0.0011547065660449645
1.1,2.2,constant+average,1020,0.0011339829055163604
1.1,2.2,constant+average,1086,0.001071101725331559
1.1,2.2,constant+average,1157,0.001011600979682458
1.1,2.2,constant+average,1232,0.0009563229160199298
1.1,2.2,constant+average,1311,0.0009050534481468996
1.1,2.2,constant+average,1396,0.0008564820886756851
1.1,2.2,constant+average,1487,0.0008107429201749731
1.1,2.2,constant+average,1583,0.0007682889106667487
1.1,2.2,constant+average,1686,0.0007282079091554983
1.1,2.2,constant+average,1795,0.0006908871772297102
1.1,2.2,constant+average,1911,0.0006559251264333049
1.1,2.2,constant+average,2000,0.0006318968328390376
1.1,2.2,constant+average,2035,0.0006230331836344792
1.1,2.2,constant+average,2167,0.000592223586618886
1.1,2.2,constant+average,2307,0.0005634615310581766
1.1,2.2,constant+average,2457,0.0005363395918042929
1.1,2.2,constant+average,2616,0.0005110381840618127
1.1,2.2,constant+average,2785,0.0004873597007873178
1.1,2.2,constant+average,2966,0.00046503515888728997
1.1,2.2,constant+average,3000,0.0004611464405624766
1.1,2.2,constant+average,3158,0.0004441891151467314
1.1,2.2,constant+average,3363,0.0004245931624032934
1.1,2.2,constant+average,3581,0.0004062461190341103
1.1,2.2,constant+average,3813,0.00038905137483779374
1.1,2.2,constant+average,4060,0.00037292734113673925
1.1,2.2,constant+average,4323,0.00035780351257482743
1.1,2.2,constant+average,4603,0.00034361756245284146
1.1,2.2,constant+average,4901,0.0003303132274577663
1.1,2.2,constant+average,5000,0.0003262465666124403
1.1,2.2,constant+average,5218,0.00031783879325375996
1.1,2.2,constant+average,5556,0.00030611345617465746
1.1,2.2,constant+average,5916,0.00029510328909687633
1.1,2.2,constant+average,6300,0.0002847485415996977
1.1,2.2,constant+average,6708,0.0002750458251166695
1.1,2.2,constant+average,7142,0.00026593969003121725
1.1,2.2,constant+average,7605,0.0002573670029789878
1.1,2.2,constant+average,8000,0.0002508336126865827
1.1,2.2,constant+average,8098,0.0002493106736903585
1.1,2.2,constant+average,8622,0.00024175025171704022
1.1,2.2,constant+average,9181,0.00023462703211773558
1.1,2.2,constant+average,9776,0.00022792930782984718
1.1,2.2,constant+average,10000,0.00022561135619553915
1.1,2.2,constant+average,10409,0.0002216322458004023
1.1,2.2,constant+average,11083,0.0002157044494983513
1.1,2.2,constant+average,11801,0.00021011968651259329
1.1,2.2,constant+average,12566,0.00020485551979638054
1.1,2.2,constant+average,13380,0.00019989802437094076
1.1,2.2,constant+average,14247,0.00019522254426339216
1.1,2.2,constant+average,15170,0.00019081320436058747
1.1,2.2,constant+average,16153,0.00018665123946550556
1.1,2.2,constant+average,17199,0.0001827240669336674
1.1,2.2,constant+average,18314,0.00017901005002001383
1.1,2.2,constant+average,19500,0.0001755032340391197
1.1,2.2,constant+average,20000,0.0001741428500247179
1.1,2.2,constant+average,20763,0.00017218608694951685
1.1,2.2,constant+average,22109,0.0001690443114640533
1.1,2.2,constant+average,23541,0.00016607186252605126
1.1,2.2,constant+average,25066,0.00016325488050063282
1.1,2.2,constant+average,26690,0.00016058352850080608
1.1,2.2,constant+average,28419,0.00015804911569377333
1.1,2.2,constant+average,30260,0.00015564256931234398
1.1,2.2,constant+average,32221,0.0001533548852895451
1.1,2.2,constant+average,34308,0.0001511803710435986
1.1,2.2,constant+average,36531,0.00014910996797299792
1.1,2.2,constant+average,38897,0.00014713859495043153
1.1,2.2,constant+average,41417,0.0001452585508080147
1.1,2.2,constant+average,44101,0.00014346409915889512
1.1,2.2,constant+average,46958,0.00014175079760544415
1.1,2.2,constant+average,50000,0.00014011297980010782
1.1,2.2,1/sqrt(t)+average,100,0.009548379923012471
1.1,2.2,1/sqrt(t)+average,106,0.00921873993369837
1.1,2.2,1/sqrt(t)+average,113,0.00887059507824434
1.1,2.2,1/sqrt(t)+average,121,0.008513351786340908
1.1,2.2,1/sqrt(t)+average,129,0.008192586884622247
1.1,2.2,1/sqrt(t)+average,137,0.007902625296959164
1.1,2.2,1/sqrt(t)+average,146,0.007607640404336722
1.1,2.2,1/sqrt(t)+average,155,0.007340792740273538
1.1,2.2,1/sqrt(t)+average,165,0.007072326477403466
1.1,2.2,1/sqrt(t)+average,176,0.006805938905957649
1.1,2.2,1/sqrt(t)+average,187,0.006565254535355322
1.1,2.2,1/sqrt(t)+average,199,0.006327562959546508
1.1,2.2,1/sqrt(t)+average,212,0.006094943444579934
1.1,2.2,1/sqrt(t)+average,226,0.005868940539466944
1.1,2.2,1/sqrt(t)+average,241,0.005650644325043264
1.1,2.2,1/sqrt(t)+average,256,0.0054532641797296255
1.1,2.2,1/sqrt(t)+average,273,0.005250996779066913
1.1,2.2,1/sqrt(t)+average,291,0.005057873766095087
1.1,2.2,1/sqrt(t)+average,310,0.004873882115687176
1.1,2.2,1/sqrt(t)+average,330,0.004698875064705595
1.1,2.2,1/sqrt(t)+average,351,0.004532609734560341
1.1,2.2,1/sqrt(t)+average,374,0.004367959154008475
1.1,2.2,1/sqrt(t)+average,398,0.004212663047967205
1.1,2.2,1/sqrt(t)+average,424,0.004060562247801011
1.1,2.2,1/sqrt(t)+average,451,0.003917696478871517
1.1,2.2,1/sqrt(t)+average,480,0.003778786474462781
1.1,2.2,1/sqrt(t)+average,511,0.0036444465748279313
1.1,2.2,1/sqrt(t)+average,545,0.0035113610959795934
1.1,2.2,1/sqrt(t)+average,580,0.003387570999095818
1.1,2.2,1/sqrt(t)+average,617,0.00326907310064126
1.1,2.2,1/sqrt(t)+average,657,0.003153117715213772
1.1,2.2,1/sqrt(t)+average,700,0.0030404202204565205
1.1,2.2,1/sqrt(t)+average,745,0.0029337397361963377
1.1,2.2,1/sqrt(t)+average,794,0.002828684301351375
1.1,2.2,1/sqrt(t)+average,845,0.002729784399819032
1.1,2.2,1/sqrt(t)+average,900,0.00263325904976377
1.1,2.2,1/sqrt(t)+average,958,0.0025411455373807713
1.1,2.2,1/sqrt(t)+average,1000,0.002479801432314583
1.1,2.2,1/sqrt(t)+average,1020,0.002452009553632423
1.1,2.2,1/sqrt(t)+average,1086,0.002366124636523088
1.1,2.2,1/sqrt(t)+average,1157,0.00228253389587373
1.1,2.2,1/sqrt(t)+average,1232,0.0022026459287817638
1.1,2.2,1/sqrt(t)+average,1311,0.0021264375812548556
1.1,2.2,1/sqrt(t)+average,1396,0.0020521746881276225
1.1,2.2,1/sqrt(t)+average,1487,0.001980220364837138
1.1,2.2,1/sqrt(t)+average,1583,0.0019115027855794054
1.1,2.2,1/sqrt(t)+average,1686,0.0018447484467369142
1.1,2.2,1/sqrt(t)+average,1795,0.0017807877097526386
1.1,2.2,1/sqrt(t)+average,1911,0.0017191341469703688
1.1,2.2,1/sqrt(t)+average,2000,0.0016757008450213862
1.1,2.2,1/sqrt(t)+average,2035,0.0016594465346209814
1.1,2.2,1/sqrt(t)+average,2167,0.0016019095271516757
1.1,2.2,1/sqrt(t)+average,2307,0.0015466345582917924
1.1,2.2,1/sqrt(t)+average,2457,0.0014929940415406317
1.1,2.2,1/sqrt(t)+average,2616,0.0014414959878159303
1.1,2.2,1/sqrt(t)+average,2785,0.0013919018930967418
1.1,2.2,1/sqrt(t)+average,2966,0.0013437841912278302
1.1,2.2,1/sqrt(t)+average,3000,0.0013352581858560304
1.1,2.2,1/sqrt(t)+average,3158,0.001297546897110091
1.1,2.2,1/sqrt(t)+average,3363,0.0012528212681017243
1.1,2.2,1/sqrt(t)+average,3581,0.0012097324681167106
1.1,2.2,1/sqrt(t)+average,3813,0.0011681831489376454
1.1,2.2,1/sqrt(t)+average,4060,0.0011280986507243116
1.1,2.2,1/sqrt(t)+average,4323,0.0010894208093396095
1.1,2.2,1/sqrt(t)+average,4603,0.0010521031272199468
1.1,2.2,1/sqrt(t)+average,4901,0.0010161070479826444
1.1,2.2,1/sqrt(t)+average,5000,0.0010048980784698926
1.1,2.2,1/sqrt(t)+average,5218,0.000981399126645201
1.1,2.2,1/sqrt(t)+average,5556,0.0009478544148787332
1.1,2.2,1/sqrt(t)+average,5916,0.0009154704289924425
1.1,2.2,1/sqrt(t)+average,6300,0.000884162432204807
1.1,2.2,1/sqrt(t)+average,6708,0.0008540109023085142
1.1,2.2,1/sqrt(t)+average,7142,0.0008249339797144504
1.1,2.2,1/sqrt(t)+average,7605,0.000796812049924212
1.1,2.2,1/sqrt(t)+average,8000,0.0007748541956705605
1.1,2.2,1/sqrt(t)+average,8098,0.0007696668510672981
1.1,2.2,1/sqrt(t)+average,8622,0.0007435082598878008
1.1,2.2,1/sqrt(t)+average,9181,0.0007182068418039669
1.1,2.2,1/sqrt(t)+average,9776,0.0006937903102403338
1.1,2.2,1/sqrt(t)+average,10000,0.0006851900789168075
1.1,2.2,1/sqrt(t)+average,10409,0.0006702372848681938
1.1,2.2,1/sqrt(t)+average,11083,0.0006474961776746394
1.1,2.2,1/sqrt(t)+average,11801,0.0006255282645669801
1.1,2.2,1/sqrt(t)+average,12566,0.000604304158536888
1.1,2.2,1/sqrt(t)+average,13380,0.0005838250066037331
1.1,2.2,1/sqrt(t)+average,14247,0.0005640440039374518
1.1,2.2,1/sqrt(t)+average,15170,0.0005449461975446944
1.1,2.2,1/sqrt(t)+average,16153,0.0005265002657346382
1.1,2.2,1/sqrt(t)+average,17199,0.0005086983692584629
1.1,2.2,1/sqrt(t)+average,18314,0.0004914876306912983
1.1,2.2,1/sqrt(t)+average,19500,0.000474883712976253
1.1,2.2,1/sqrt(t)+average,20000,0.00046834629162812043
1.1,2.2,1/sqrt(t)+average,20763,0.000458845307496613
1.1,2.2,1/sqrt(t)+average,22109,0.00044334198377512856
1.1,2.2,1/sqrt(t)+average,23541,0.00042838114944274386
1.1,2.2,1/sqrt(t)+average,25066,0.0004139287100943525
1.1,2.2,1/sqrt(t)+average,26690,0.0003999675824952863
1.1,2.2,1/sqrt(t)+average,28419,0.0003864840726123944
1.1,2.2,1/sqrt(t)+average,30260,0.00037345996438486914
1.1,2.2,1/sqrt(t)+average,32221,0.00036087476180654944
1.1,2.2,1/sqrt(t)+average,34308,0.0003487239280072959
1.1,2.2,1/sqrt(t)+average,36531,0.000336982080322084
1.1,2.2,1/sqrt(t)+average,38897,0.00032564409994113505
1.1,2.2,1/sqrt(t)+average,41417,0.0003146879714086125
1.1,2.2,1/sqrt(t)+average,44101,0.00030410100459810156
1.1,2.2,1/sqrt(t)+average,46958,0.0002938765226455102
1.1,2.2,1/sqrt(t)+average,50000,0.0002839990056975305
1.5,1.5,constant+average,100,2.591811098278785e-06
1.5,1.5,constant+average,106,2.5907649469413208e-06
1.5,1.5,constant+average,113,2.5895461010873534e-06
1.5,1.5,constant+average,121,2.5881553230309958e-06
1.5,1.5,constant+average,129,2.586766873195771e-06
1.5,1.5,constant+average,137,2.5853807452676728e-06
1.5,1.5,constant+average,146,2.5838241191685202e-06
1.5,1.5,constant+average,155,2.582270415585085e-06
1.5,1.5,constant+average,165,2.580547495897458e-06
1.5,1.5,constant+average,176,2.5786564265676735e-06
1.5,1.5,constant+average,187,2.576769682760556e-06
1.5,1.5,constant+average,199,2.5747163332337933e-06
1.5,1.5,constant+average,212,2.572497639850438e-06
1.5,1.5,constant+average,226,2.5701149612858263e-06
1.5,1.5,constant+average,241,2.5675697511184604e-06
1.5,1.5,constant+average,256,2.565032430800623e-06
1.5,1.5,constant+average,273,2.5621662955143553e-06
1.5,1.5,constant+average,291,2.5591425061748645e-06
1.5,1.5,constant+average,310,2.555962874934108e-06
1.5,1.5,constant+average,330,2.552629297517866e-06
1.5,1.5,constant+average,351,2.5491437506292624e-06
1.5,1.5,constant+average,374,2.545343429926671e-06
1.5,1.5,constant+average,398,2.5413969059297665e-06
1.5,1.5,constant+average,424,2.537143281574582e-06
1.5,1.5,constant+average,451,2.5327498514521513e-06
1.5,1.5,constant+average,480,2.5280577758977306e-06
1.5,1.5,constant+average,511,2.523072543026255e-06
1.5,1.5,constant+average,545,2.517640707245307e-06
1.5,1.5,constant+average,580,2.5120879048162397e-06
1.5,1.5,constant+average,617,2.5062601645794196e-06
1.5,1.5,constant+average,657,2.500008369414311e-06
1.5,1.5,constant+average,700,2.4933432161183864e-06
1.5,1.5,constant+average,745,2.4864289270304115e-06
1.5,1.5,constant+average,794,2.4789699302035834e-06
1.5,1.5,constant+average,845,2.4712828319462057e-06
1.5,1.5,constant+average,900,2.463078844115797e-06
1.5,1.5,constant+average,958,2.454522601486619e-06
1.5,1.5,constant+average,1000,2.448386857933252e-06
1.5,1.5,constant+average,1020,2.4454826389515204e-06
1.5,1.5,constant+average,1086,2.4359781665450736e-06
1.5,1.5,constant+average,1157,2.4258878566896025e-06
1.5,1.5,constant+average,1232,2.415377233012411e-06
1.5,1.5,constant+average,1311,2.4044672912981468e-06
1.5,1.5,constant+average,1396,2.3929095228475776e-06
1.5,1.5,constant+average,1487,2.3807388557541163e-06
1.5,1.5,constant+average,1583,2.368121422125075e-06
1.5,1.5,constant+average,1686,2.3548308614574494e-06
1.5,1.5,constant+average,1795,2.341036876485061e-06
1.5,1.5,constant+average,1911,2.326654093855992e-06
